ground_id,alias_name,first_year,is_sponsor
23,N1-völlurinn Hlíðarenda,2023,1
21,Malbikstöðin að Varmá,2025,1
7,Reykjaneshöll-gervigras,2023,0
4,Lambhagavöllurinn,2024,1
1,Würth völlurinn,2019,1
29,Domusnovavöllurinn,2020,1
1,tekk VÖLLURINN,2025,1
19,ELKEM völlurinn,2025,1
19,Norðurálsvöllurinn,2023,1
24,GeoSalmo völlurinn,2025,1
42,Extra völlurinn,2025,1
46,BIRTU völlurinn,2025,1
31,Olísvöllurinn,2018,1
31,Kerecisvöllurinn,2024,1
32,VÍS völlurinn,2023,1
10,Kórinn - Gervigras,2023,0
61,Stakkavíkurvöllur-Safamýri,2024,0
73,Fagrilundur - gervigras,2023,0
39,AutoCenter-völlurinn,2025,1
33,Rafholtsvöllurinn,2019,1
