id,name,city,latitude,longitude,capacity,surface
1,Fylkisvöllur,Reykjavík,64.1134477985459,-21.792509342841853,,artificial
2,Greifavöllurinn,Akureyri,65.68597417278868,-18.094576467956124,,
3,Origo völlurinn,,,,,
4,Framvöllur,Reykjavík,64.13154232838183, -21.733062891181078,,
5,Samsungvöllurinn,Garðabær,64.08747077365655, -21.928390644624162,,
6,Kópavogsvöllur,Kópavogur,64.10383443015697, -21.89477954494938,,
7,Reykjaneshöll,,,,,
8,Kaplakrikavöllur,Hafnarfjörður,64.07582909351412, -21.936874040920472,,
9,Víkingsvöllur,Reykjavík,64.11701887271776, -21.852439470713993,,
10,Kórinn,Kópavogur,,,,
11,Hásteinsvöllur,Vestmannaeyjar,63.439524115316836, -20.286874842806647,,
12,Vivaldivöllurinn,Seltjarnarnes,,,,
13,Meistaravellir,Reykjavík,64.14648580542878, -21.966132071604864,,
14,HS Orku völlurinn,,,,,
17,AVIS völlurinn,Reykjavík,,,,
18,Akraneshöllin,Akranes,,,,
19,Akranesvöllur,Akranes,64.31769037225611, -22.059396234824025,,
21,Varmárvöllur,Mosfellsbær,64.16921647170922,-21.688779979012118,,
22,Þórsvöllur Vey,Vestmannaeyjar,,,,
23,Valsvöllur,Reykjavík,64.13284793255015, -21.922828713933562,,
24,Þorlákshafnarvöllur,Þorlákshöfn,,,,
26,JÁVERK-völlurinn,,,,,
27,Boginn,Akureyri,,,,
28,Egilshöll,Reykjavík,,,,
29,Leiknisvöllur,Reykjavík,64.10311168030393,-21.817703434835604,,artificial
30,Stakkavíkurvöllur,Grindavík,,,,
31,Torfnesvöllur,Ísafjörður,66.07306639430202, -23.134445438960228,,
32,Þórsvöllur,,,,,
33,Njarðvíkurvöllur,,,,,
36,Þróttheimar,,,,,
37,Dalvíkurvöllur,,,,,
39,ÍR-völlur,Reykjavík,,,,
40,JBÓ völlurinn,,,,,
42,Fjölnisvöllur,Reykjavík,,,,
44,PCC völlurinn Húsavík,Húsavík,,,,
45,Vogaídýfuvöllur,,,,,
46,Ásvellir,,,,,
47,Fjarðabyggðarhöllin,,,,,
48,Ólafsvíkurvöllur,,,,,
49,Jökulfellsvöllurinn,,,,,
50,KR-völlur,,,,,
51,Fellavöllur,,,,,
52,Ólafsfjarðarvöllur,,,,,
53,Miðgarður,,,,,
54,Vilhjálmsvöllur,,,,,
55,Brons völlurinn,,,,,
58,Blönduósvöllur,,,,,
59,Sjávarborgarvöllurinn,,,,,
60,Nesfisk-völlurinn,,,,,
61,Safamýri,,,,,
62,SÚN-völlurinn,,,,,
63,Skessan,,,,,
65,Vestmannaeyjavöllur,,,,,
66,Fífan,,,,,
67,Sauðárkróksvöllur,Sauðárkrókur,65.74514221563754,-19.64479011987363,,,
68,Týsvöllur,,,,,
69,Grenivíkurvöllur,Grenivík,,,,
71,Hvammstangavöllur,Hvammstangi,,,,
72,Fjölnisvöllur - Gervigras,,,,,
73,Fagrilundur,,,,,
74,Djúpavogsvöllur,,,,,
75,Smárinn,,,,,
76,Laugardalsvöllur,Reykjavík,,,,
