ksi_team_id,season,division,home_ground_id
5363,2023,1,3
5364,2023,1,9
5366,2023,1,4
5386,2023,1,1
5387,2023,1,6
5388,2023,1,11
5698,2023,1,13
5730,2023,1,5
5731,2023,1,2
5732,2023,1,10
5733,2023,1,8
5964,2023,1,14
5219,2023,2,24
5365,2023,2,29
5385,2023,2,42
5389,2023,2,17
5734,2023,2,31
5735,2023,2,19
5963,2023,2,30
5965,2023,2,32
5971,2023,2,26
5972,2023,2,21
5981,2023,2,33
6031,2023,2,12
5172,2023,3,45
5216,2023,3,52
5217,2023,3,44
5699,2023,3,39
5973,2023,3,49
5976,2023,3,46
6049,2023,3,48
6131,2023,3,50
6189,2023,3,5
6281,2023,3,54
6330,2023,3,47
7125,2023,3,37
5221,2023,4,69
5224,2023,4,1
5227,2023,4,58
5383,2023,4,63
5970,2023,4,60
5980,2023,4,68
5987,2023,4,18
5989,2023,4,55
6123,2023,4,21
6124,2023,4,10
6130,2023,4,66
6351,2023,4,1
5363,2024,1,23
5364,2024,1,9
5366,2024,1,4
5386,2024,1,1
5387,2024,1,6
5698,2024,1,13
5730,2024,1,5
5731,2024,1,2
5732,2024,1,10
5733,2024,1,8
5734,2024,1,31
5735,2024,1,19
5365,2024,2,29
5385,2024,2,42
5388,2024,2,11
5389,2024,2,17
5699,2024,2,39
5963,2024,2,61
5964,2024,2,14
5965,2024,2,32
5972,2024,2,21
5981,2024,2,33
6031,2024,2,12
7125,2024,2,37
5172,2024,3,45
5216,2024,3,52
5217,2024,3,44
5219,2024,3,24
5227,2024,3,58
5971,2024,3,26
5976,2024,3,46
5989,2024,3,55
6049,2024,3,48
6189,2024,3,5
6281,2024,3,54
6330,2024,3,47
5221,2024,4,69
5224,2024,4,1
5383,2024,4,63
5737,2024,4,72
5970,2024,4,60
5973,2024,4,49
5987,2024,4,18
6123,2024,4,21
6130,2024,4,66
6131,2024,4,50
6351,2024,4,29
6353,2024,4,73
5363,2025,1,23
5364,2025,1,9
5366,2025,1,4
5387,2025,1,6
5388,2025,1,11
5698,2025,1,13
5730,2025,1,5
5731,2025,1,2
5733,2025,1,8
5734,2025,1,31
5735,2025,1,19
5972,2025,1,21
5217,2025,2,44
5365,2025,2,29
5385,2025,2,42
5386,2025,2,1
5389,2025,2,17
5699,2025,2,39
5732,2025,2,10
5963,2025,2,30
5964,2025,2,14
5965,2025,2,27
5971,2025,2,26
5981,2025,2,40
5172,2025,3,45
5219,2025,3,24
5227,2025,3,58
5970,2025,3,60
5976,2025,3,46
5987,2025,3,18
6031,2025,3,12
6049,2025,3,48
6189,2025,3,5
6281,2025,3,51
6330,2025,3,62
7125,2025,3,37
5216,2025,4,52
5218,2025,4,67
5221,2025,4,69
5383,2025,4,63
5973,2025,4,49
5989,2025,4,55
6123,2025,4,21
6124,2025,4,10
6130,2025,4,66
6131,2025,4,50
6351,2025,4,29
6353,2025,4,73
