# API-Football team name overrides
# Format: api_id<TAB>name<TAB>short_name
# Lines starting with # are ignored. Only listed teams are overridden.
# Commented-out lines show the API name — uncomment and edit to override.
267	Fylkir	Fylkir
268	Íþróttabandalag Vestmannaeyja	ÍBV
269	Keflavík	Keflavík
270	Fimleikafélag Hafnarfjarðar	FH
271	Knattspyrnufélag Reykjavíkur	KR
272	Knattspyrnufélag Akureyrar	KA
273	Fjölnir	Fjölnir
274	Valur	Valur
275	Stjarnan	Stjarnan
276	Breiðablik	Breiðablik
277	Grindavík	Grindavík
278	Víkingur Reykjavík	Víkingur R
827	Íþróttabandalag Akraness	ÍA
828	Víkingur Ólafsvík	Víkingur Ó
829	Þróttur Reykjavík	Þróttur R
2112	Fjarðabyggð	Fjarðabyggð
2113	Handknattleiksfélag Kópavogs	HK
2114	Leiknir Reykjavík	Leiknir R
2115	Selfoss	Selfoss
2116	Þór Akureyri	Þór
2117	Fram	Fram
2118	Haukar	Haukar
2120	Leiknir Fáskrúðsfirði	Leiknir F
2121	Grótta	Grótta
2122	Íþróttafélag Reykjavíkur	ÍR
2123	Njarðvík	Njarðvík
2124	Magni	Magni
3514	Afturelding	Afturelding
4162	Knattspyrnufélag Fjallabyggðar	KF
4163	Knattspyrnufélag Vesturbæjar	KV
4164	Sindri	Sindri
4165	Vestri	Vestri
4166	Völsungur	Völsungur
4167	Ægir	Ægir
4168	Tindastóll	Tindastóll
4169	Víðir	Víðir
4170	Kári	Kári
4171	Þróttur Vogar	Þróttur V
4172	Dalvík/Reynir	Dalvík/Reynir
4173	Knattspyrnufélag Garðabæjar	KFG
6076	Afríka	Afríka
6077	Augnablik	Augnablik
6078	Berserkir	Berserkir
6079	Björninn	Björninn
6080	Einherji	Einherji
6081	Elliði	Elliði
6083	Golfklúbbur Grindavíkur	GG
6084	Hamar	Hamar
6085	Hvíti riddarinn	Hvíti r.
6086	Hörður Ísafjörður	Hörður Í
6087	Höttur/Huginn	Höttur/H
6088	KB	KB
6089	KFR	KFR
6090	KFS	KFS
6091	KH	KH
6092	KM	KM
6093	Kormákur/Hvöt	Kormákur
6094	Kría	Kría
6095	KÁ Hafnarfjörður	KÁ
6097	Kórdrengir	Kórdrengir
6098	Léttir	Léttir
6099	Mídas	Mídas
6100	Nökkvi	Nökkvi
6101	Reynir Sandgerði	Reynir S
6102	SR	SR
6103	Samherjar	Samherjar
6104	Skallagrímur	Skallagrímur
6105	Snæfell	Snæfell
6106	Vatnaliljur	Vatnaliljur
6107	Vængir Júpíters	Vængir J
6108	Álafoss	Álafoss
6109	Álftanes	Álftanes
6110	Árborg	Árborg
6112	Íþróttafélag Hafnarfjarðar	ÍH
6113	Ísbjörninn	Ísbjörninn
6114	Úlfarnir	Úlfarnir
6115	Ýmir	Ýmir
10116	Blix	Blix
10117	KFB	KFB
10118	Skandinavía	Skandinavía
10119	Stokkseyri	Stokkseyri
10120	ÍBU	ÍBU
16442	Gullfálkinn	Gullfálkinn
16443	RB	RB
16444	Reynir Hellissandur	Reynir H
16624	Hamrarnir	Hamrarnir
18366	Fjarðabyggð/Leiknir	Fjarðab./L
18474	Berserkir/Mídas	Bers./Mídas
18475	BN Norðfjörður	BN
18476	Hafnir	Hafnir
18477	KFK Kópavogur	KFK
18478	Spyrnir	Spyrnir
18479	Árbær	Árbær
22959	Þorlákur	Þorlákur
25517	Fjarðabyggð/Höttur/Leiknir	Fjarðab./H/L
25566	BF 108	BF 108
25567	Fálkar	Fálkar
25568	Neisti Dalvík	Neisti D
